Species,Obs,light_umol,Photo,Cond,Ci,Trmmol
sel_anc,7,50,0.374751102,0.076333738,389.2212779,0.298853297
sel_anc,8,50,0.371277826,0.075092639,389.1331345,0.296310285
sel_anc,9,50,0.319642618,0.072685829,390.0196365,0.285773658
sel_anc,10,50,0.354203178,0.071645849,389.0396013,0.283563761
sel_anc,11,50,0.31560551,0.069015132,389.6383375,0.27397923
sel_anc,12,50,0.33904371,0.070254842,389.2090522,0.279044288
sel_anc,13,50,0.372291827,0.063936712,387.5538598,0.254489121
sel_anc,14,50,0.379963615,0.062243342,387.0815802,0.247894275
sel_anc,15,50,0.44718942,0.062275477,385.2750325,0.246922227
sel_anc,16,50,0.386420697,0.061734471,386.8026018,0.24358461
sel_anc,17,50,0.414665778,0.06143086,385.9671344,0.243769978
sel_anc,18,50,0.361453549,0.063272619,387.7241324,0.251650841
sel_anc,19,50,0.402240137,0.057414293,385.6350904,0.229097888
sel_anc,20,50,0.420107139,0.053972022,384.3445221,0.217052696
sel_anc,21,50,0.437257281,0.054212353,383.8716216,0.216637891
sel_anc,22,50,0.390740487,0.056780721,385.8469273,0.227903072
sel_anc,23,50,0.41806183,0.053589498,384.3278332,0.214282569
sel_anc,24,50,0.38711173,0.052627686,385.2939734,0.2119927
sel_anc,25,50,0.378227875,0.051944276,385.4704988,0.208777619
sel_anc,26,50,0.374225339,0.051064985,385.3825556,0.204685782
sel_anc,27,50,0.393390221,0.051691894,384.8734528,0.206902883
